Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
1,1,10/18/2022,37-292,LAL,@,GSW,L (-14),1,35:12:00,12,26,0.462,3,10,0.3,4,4,1,5,10,15,8,0,0,5,2,31,23.9,-10
2,2,10/20/2022,37-294,LAL,,LAC,L (-6),1,36:40:00,7,17,0.412,2,8,0.25,4,6,0.667,2,8,10,6,1,2,2,3,20,17.3,-1
3,3,10/23/2022,37-297,LAL,,POR,L (-2),1,37:43:00,12,22,0.545,2,9,0.222,5,7,0.714,1,7,8,8,2,2,4,3,31,26.2,2
4,4,10/26/2022,37-300,LAL,@,DEN,L (-11),1,35:18:00,8,21,0.381,2,8,0.25,1,2,0.5,2,5,7,9,1,0,8,1,19,8.9,-7
5,5,10/28/2022,37-302,LAL,@,MIN,L (-9),1,37:27:00,10,24,0.417,1,6,0.167,7,8,0.875,3,4,7,5,4,0,3,2,28,21.8,-13
6,6,10/30/2022,37-304,LAL,,DEN,W (+11),1,34:42:00,10,22,0.455,2,5,0.4,4,5,0.8,0,6,6,8,1,0,3,1,26,19.2,-1
7,7,11/2/2022,37-307,LAL,,NOP,W (+3),1,39:43:00,9,23,0.391,0,7,0,2,4,0.5,0,10,10,8,0,2,2,3,20,13.5,5
8,8,11/4/2022,37-309,LAL,,UTA,L (-14),1,34:09:00,7,19,0.368,0,5,0,3,5,0.6,2,8,10,8,0,1,3,3,17,11.6,-11
9,9,11/6/2022,37-311,LAL,,CLE,L (-14),1,33:49:00,13,23,0.565,1,4,0.25,0,3,0,2,5,7,4,0,0,1,0,27,19.6,-8
11,10,11/9/2022,37-314,LAL,@,LAC,L (-13),1,32:21:00,12,22,0.545,4,9,0.444,2,4,0.5,1,7,8,5,2,0,3,2,30,23.1,-17
17,11,11/25/2022,37-330,LAL,@,SAS,W (+11),1,33:15:00,8,17,0.471,1,4,0.25,4,4,1,0,8,8,5,3,1,9,2,21,12.1,16
18,12,11/26/2022,37-331,LAL,@,SAS,W (+5),1,35:28:00,11,21,0.524,7,12,0.583,10,10,1,0,11,11,3,1,1,4,3,39,30.6,-3
